"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"FDXS DEC 21","SELL","-1","15515","-0.38","EUR","2021-12-15"
"FDXS DEC 21","BUY","1","15510","-0.38","EUR","2021-12-15"
"FDXS DEC 21","BUY","1","15508","-0.38","EUR","2021-12-15"
"FDXS DEC 21","SELL","-1","15515","-0.38","EUR","2021-12-15"
"FDXS DEC 21","BUY","1","15504","-0.38","EUR","2021-12-15"
"FDXS DEC 21","SELL","-1","15511","-0.38","EUR","2021-12-15"
"FDXS DEC 21","SELL","-1","15514","-0.38","EUR","2021-12-15"
"FDXS DEC 21","BUY","1","15507","-0.38","EUR","2021-12-15"
"FDXS DEC 21","BUY","1","15508","-0.38","EUR","2021-12-15"
"FDXS DEC 21","SELL","-1","15515","-0.38","EUR","2021-12-15"
"FDXS DEC 21","SELL","-1","15516","-0.38","EUR","2021-12-15"
"FDXS DEC 21","BUY","1","15509","-0.38","EUR","2021-12-15"
"FDXS DEC 21","BUY","1","15507","-0.38","EUR","2021-12-15"
"FDXS DEC 21","SELL","-1","15502","-0.38","EUR","2021-12-15"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"FDXS DEC 21","BUY","1","15712","-0.38","EUR","2021-12-16"
"FDXS DEC 21","BUY","1","15712","-0.38","EUR","2021-12-16"
"FDXS DEC 21","BUY","1","15712","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15696","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15696","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15696","-0.38","EUR","2021-12-16"
"FDXS DEC 21","BUY","1","15693","-0.38","EUR","2021-12-16"
"FDXS DEC 21","BUY","1","15693","-0.38","EUR","2021-12-16"
"FDXS DEC 21","BUY","1","15693","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15678","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15678","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15678","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15682","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15682","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15682","-0.38","EUR","2021-12-16"
"FDXS DEC 21","BUY","1","15673","-0.38","EUR","2021-12-16"
"FDXS DEC 21","BUY","1","15659","-0.38","EUR","2021-12-16"
"FDXS DEC 21","BUY","1","15673","-0.38","EUR","2021-12-16"
"FDXS DEC 21","BUY","1","15654","-0.38","EUR","2021-12-16"
"FDXS DEC 21","BUY","1","15654","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15663","-0.38","EUR","2021-12-16"
"FDXS DEC 21","SELL","-1","15661","-0.38","EUR","2021-12-16"
"MESH2","BUY","1","4701","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4701","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4696.25","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4696.25","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4705.75","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4705.75","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4709.75","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4714.25","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4713.25","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4713.25","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4711","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4711","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4705.75","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4706","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4701.25","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4701.25","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4694.75","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4694.75","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4698.5","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4698.5","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4698","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4698","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4692.75","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4692.75","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4682.25","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4682.25","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4685.5","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4679.5","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4681.25","-0.52","USD","2021-12-16"
"MESH2","BUY","1","4681.25","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4676.5","-0.52","USD","2021-12-16"
"MESH2","SELL","-1","4676.5","-0.52","USD","2021-12-16"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"FDXS MAR 22","SELL","-1","15579","-0.38","EUR","2021-12-17"
"FDXS MAR 22","SELL","-1","15579","-0.38","EUR","2021-12-17"
"FDXS MAR 22","BUY","1","15568","-0.38","EUR","2021-12-17"
"FDXS MAR 22","BUY","1","15582","-0.38","EUR","2021-12-17"
"FDXS MAR 22","SELL","-1","15580","-0.38","EUR","2021-12-17"
"FDXS MAR 22","SELL","-1","15580","-0.38","EUR","2021-12-17"
"FDXS MAR 22","BUY","1","15570","-0.38","EUR","2021-12-17"
"FDXS MAR 22","BUY","1","15551","-0.38","EUR","2021-12-17"
"FDXS MAR 22","SELL","-1","15521","-0.38","EUR","2021-12-17"
"FDXS MAR 22","SELL","-1","15521","-0.38","EUR","2021-12-17"
"FDXS MAR 22","BUY","2","15528","-0.76","EUR","2021-12-17"
"FDXS MAR 22","SELL","-1","15516","-0.38","EUR","2021-12-17"
"FDXS MAR 22","SELL","-1","15516","-0.38","EUR","2021-12-17"
"FDXS MAR 22","BUY","1","15505","-0.38","EUR","2021-12-17"
"FDXS MAR 22","BUY","1","15478","-0.38","EUR","2021-12-17"
"MESH2","SELL","-1","4617.5","-0.52","USD","2021-12-17"
"MESH2","SELL","-1","4617.5","-0.52","USD","2021-12-17"
"MESH2","BUY","1","4613.5","-0.52","USD","2021-12-17"
"MESH2","BUY","1","4609.5","-0.52","USD","2021-12-17"
"MESH2","SELL","-1","4606","-0.52","USD","2021-12-17"
"MESH2","BUY","1","4608.5","-0.52","USD","2021-12-17"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"FDXS MAR 22","SELL","-1","15746","-0.38","EUR","2021-12-27"
"FDXS MAR 22","SELL","-1","15746","-0.38","EUR","2021-12-27"
"FDXS MAR 22","BUY","1","15735","-0.38","EUR","2021-12-27"
"FDXS MAR 22","BUY","1","15735","-0.38","EUR","2021-12-27"
"FDXS MAR 22","SELL","-1","15748","-0.38","EUR","2021-12-27"
"FDXS MAR 22","SELL","-1","15748","-0.38","EUR","2021-12-27"
"FDXS MAR 22","BUY","1","15762","-0.38","EUR","2021-12-27"
"FDXS MAR 22","BUY","1","15762","-0.38","EUR","2021-12-27"
"FDXS MAR 22","BUY","1","15761","-0.38","EUR","2021-12-27"
"FDXS MAR 22","BUY","1","15761","-0.38","EUR","2021-12-27"
"FDXS MAR 22","SELL","-1","15747","-0.38","EUR","2021-12-27"
"FDXS MAR 22","SELL","-1","15747","-0.38","EUR","2021-12-27"
"FDXS MAR 22","BUY","1","15783","-0.38","EUR","2021-12-27"
"FDXS MAR 22","BUY","1","15783","-0.38","EUR","2021-12-27"
"FDXS MAR 22","SELL","-1","15768","-0.38","EUR","2021-12-27"
"FDXS MAR 22","SELL","-1","15767","-0.38","EUR","2021-12-27"
"FDXS MAR 22","BUY","1","15801","-0.38","EUR","2021-12-27"
"FDXS MAR 22","BUY","1","15801","-0.38","EUR","2021-12-27"
"FDXS MAR 22","SELL","-1","15812","-0.38","EUR","2021-12-27"
"FDXS MAR 22","SELL","-1","15790","-0.38","EUR","2021-12-27"
"FESX MAR 22","BUY","1","4244","-1.26","EUR","2021-12-27"
"FESX MAR 22","SELL","-1","4241.5","-1.26","EUR","2021-12-27"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"FDXS MAR 22","BUY","1","15887","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15886","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15886","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15872","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15872","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15872","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15877","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15877","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15877","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15888","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15918","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15924","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15938","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15938","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15938","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15925","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15925","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15925","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15929","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15929","-0.38","EUR","2021-12-28"
"FDXS MAR 22","BUY","1","15929","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15940","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15946","-0.38","EUR","2021-12-28"
"FDXS MAR 22","SELL","-1","15946","-0.38","EUR","2021-12-28"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"FDXS MAR 22","SELL","-1","15919","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15919","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15919","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15931","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15931","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15931","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15924","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15924","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15924","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15914","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15921","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15937","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15937","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15937","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15923","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15923","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15923","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15945","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15931","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15931","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15913","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15913","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15913","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15902","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15883","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15900","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15851","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15851","-0.38","EUR","2021-12-29"
"FDXS MAR 22","SELL","-1","15851","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15864","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15864","-0.38","EUR","2021-12-29"
"FDXS MAR 22","BUY","1","15864","-0.38","EUR","2021-12-29"
"MESH2","SELL","-1","4784","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4784","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4784","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4787","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4787.25","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4787","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4786","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4786","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4786","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4788.75","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4791.5","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4787.5","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4783.75","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4783.75","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4783.75","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4786.25","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4790","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4786.5","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4784","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4784","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4784","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4781.5","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4781.5","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4781.5","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4773.25","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4773.5","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4773.5","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4776.5","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4776.5","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4776.5","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4775.5","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4775.5","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4775.5","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4773","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4772.25","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4772.25","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4780.25","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4780.25","-0.52","USD","2021-12-29"
"MESH2","SELL","-1","4780.25","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4777.75","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4780.75","-0.52","USD","2021-12-29"
"MESH2","BUY","1","4780.75","-0.52","USD","2021-12-29"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
"FDXS MAR 22","BUY","1","15829","-0.38","EUR","2021-12-30"
"FDXS MAR 22","BUY","1","15829","-0.38","EUR","2021-12-30"
"FDXS MAR 22","BUY","1","15829","-0.38","EUR","2021-12-30"
"FDXS MAR 22","SELL","-1","15839","-0.38","EUR","2021-12-30"
"FDXS MAR 22","SELL","-1","15850","-0.38","EUR","2021-12-30"
"FDXS MAR 22","SELL","-1","15844","-0.38","EUR","2021-12-30"
"FDXS MAR 22","SELL","-1","15900","-0.38","EUR","2021-12-30"
"FDXS MAR 22","SELL","-1","15900","-0.38","EUR","2021-12-30"
"FDXS MAR 22","SELL","-1","15900","-0.38","EUR","2021-12-30"
"FDXS MAR 22","BUY","1","15896","-0.38","EUR","2021-12-30"
"FDXS MAR 22","BUY","1","15896","-0.38","EUR","2021-12-30"
"FDXS MAR 22","BUY","1","15896","-0.38","EUR","2021-12-30"
"FSXE MAR 22","SELL","-1","4280.5","-0.34","EUR","2021-12-30"
"FSXE MAR 22","BUY","1","4282.5","-0.34","EUR","2021-12-30"
"MESH2","SELL","-1","4791.5","-0.52","USD","2021-12-30"
"MESH2","SELL","-1","4791.5","-0.52","USD","2021-12-30"
"MESH2","SELL","-1","4791.5","-0.52","USD","2021-12-30"
"MESH2","BUY","1","4795.25","-0.52","USD","2021-12-30"
"MESH2","BUY","1","4795.25","-0.52","USD","2021-12-30"
"MESH2","BUY","1","4795.25","-0.52","USD","2021-12-30"
"MESH2","BUY","1","4795.25","-0.52","USD","2021-12-30"
"MESH2","BUY","1","4795.25","-0.52","USD","2021-12-30"
"MESH2","BUY","1","4795.25","-0.52","USD","2021-12-30"
"MESH2","SELL","-1","4798.75","-0.52","USD","2021-12-30"
"MESH2","SELL","-1","4797.25","-0.52","USD","2021-12-30"
"MESH2","SELL","-1","4797.25","-0.52","USD","2021-12-30"
"MESH2","BUY","1","4796","-0.52","USD","2021-12-30"
"MESH2","BUY","1","4796","-0.52","USD","2021-12-30"
"MESH2","SELL","-1","4793","-0.52","USD","2021-12-30"
"MESH2","SELL","-1","4793","-0.52","USD","2021-12-30"
"MESH2","BUY","1","4791.75","-0.52","USD","2021-12-30"
"MESH2","BUY","2","4791.75","-1.04","USD","2021-12-30"
"MESH2","SELL","-1","4794.25","-0.52","USD","2021-12-30"
"MESH2","SELL","-2","4792.25","-1.04","USD","2021-12-30"
"Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary","TradeDate"
